workflow_id,display_name,version,active,classifications_count,pairwise,grouped,prioritized,primary_language,first_task,tutorial_subject_id,retired_set_member_subjects_count,tasks,retirement,aggregation,strings,minor_version
13459,bbox,1,false,0,false,false,false,en,"",,0,{},"{""criteria"":""classification_count"",""options"":{""count"":15}}",{},{},1
13459,bbox,2,false,0,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[],""instruction"":""T0.instruction""}}","{""criteria"":""classification_count"",""options"":{""count"":15}}",{},"{""T0.help"":"""",""T0.instruction"":""Explain what to draw.""}",2
13459,bbox,3,false,0,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[],""instruction"":""T0.instruction""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[],""question"":""T1.question""}}","{""criteria"":""classification_count"",""options"":{""count"":15}}",{},"{""T0.help"":"""",""T1.help"":"""",""T1.question"":""Enter a question."",""T0.instruction"":""Explain what to draw.""}",3
13459,bbox,3,false,0,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[],""instruction"":""T0.instruction""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[],""question"":""T1.question""}}","{""criteria"":""classification_count"",""options"":{""count"":15}}",{},"{""T0.help"":"""",""T1.help"":"""",""T1.question"":""Is there a solar jet in this image?"",""T0.instruction"":""Explain what to draw.""}",4
13459,bbox,4,false,0,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[],""instruction"":""T0.instruction""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[{""label"":""T1.answers.0.label""}],""question"":""T1.question""}}","{""criteria"":""classification_count"",""options"":{""count"":15}}",{},"{""T0.help"":"""",""T1.help"":"""",""T1.question"":""Is there a solar jet in this image?"",""T0.instruction"":""Explain what to draw."",""T1.answers.0.label"":""Enter an answer""}",5
13459,bbox,4,false,0,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[],""instruction"":""T0.instruction""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[{""label"":""T1.answers.0.label""}],""question"":""T1.question""}}","{""criteria"":""classification_count"",""options"":{""count"":15}}",{},"{""T0.help"":"""",""T1.help"":"""",""T1.question"":""Is there a solar jet in this image?"",""T0.instruction"":""Explain what to draw."",""T1.answers.0.label"":""Yes""}",6
13459,bbox,5,false,0,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[],""instruction"":""T0.instruction""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[{""label"":""T1.answers.0.label""},{""label"":""T1.answers.1.label""}],""question"":""T1.question""}}","{""criteria"":""classification_count"",""options"":{""count"":15}}",{},"{""T0.help"":"""",""T1.help"":"""",""T1.question"":""Is there a solar jet in this image?"",""T0.instruction"":""Explain what to draw."",""T1.answers.0.label"":""Yes"",""T1.answers.1.label"":""Enter an answer""}",7
13459,bbox,5,false,0,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[],""instruction"":""T0.instruction""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[{""label"":""T1.answers.0.label""},{""label"":""T1.answers.1.label""}],""question"":""T1.question""}}","{""criteria"":""classification_count"",""options"":{""count"":15}}",{},"{""T0.help"":"""",""T1.help"":"""",""T1.question"":""Is there a solar jet in this image?"",""T0.instruction"":""Explain what to draw."",""T1.answers.0.label"":""Yes"",""T1.answers.1.label"":""No""}",8
13459,bbox,6,false,0,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[],""instruction"":""T0.instruction""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[{""next"":""T0"",""label"":""T1.answers.0.label""},{""label"":""T1.answers.1.label""}],""question"":""T1.question""}}","{""criteria"":""classification_count"",""options"":{""count"":15}}",{},"{""T0.help"":"""",""T1.help"":"""",""T1.question"":""Is there a solar jet in this image?"",""T0.instruction"":""Explain what to draw."",""T1.answers.0.label"":""Yes"",""T1.answers.1.label"":""No""}",8
13459,bbox,6,false,0,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[],""instruction"":""T0.instruction""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[{""next"":""T0"",""label"":""T1.answers.0.label""},{""label"":""T1.answers.1.label""}],""question"":""T1.question""}}","{""criteria"":""classification_count"",""options"":{""count"":15}}",{},"{""T0.help"":"""",""T1.help"":"""",""T1.question"":""Is there a solar jet in this image?"",""T0.instruction"":""Draw a box around the solar jet."",""T1.answers.0.label"":""Yes"",""T1.answers.1.label"":""No""}",9
13459,bbox,7,false,0,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[{""type"":""point"",""color"":""#00ff00"",""label"":""T0.tools.0.label"",""details"":[]}],""instruction"":""T0.instruction""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[{""next"":""T0"",""label"":""T1.answers.0.label""},{""label"":""T1.answers.1.label""}],""question"":""T1.question""}}","{""criteria"":""classification_count"",""options"":{""count"":15}}",{},"{""T0.help"":"""",""T1.help"":"""",""T1.question"":""Is there a solar jet in this image?"",""T0.instruction"":""Draw a box around the solar jet."",""T0.tools.0.label"":""Tool name"",""T1.answers.0.label"":""Yes"",""T1.answers.1.label"":""No""}",10
13459,bbox,8,false,0,false,false,false,en,T0,,0,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[{""type"":""rectangle"",""color"":""#00ff00"",""label"":""T0.tools.0.label"",""details"":[]}],""instruction"":""T0.instruction""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[{""next"":""T0"",""label"":""T1.answers.0.label""},{""label"":""T1.answers.1.label""}],""question"":""T1.question""}}","{""criteria"":""classification_count"",""options"":{""count"":15}}",{},"{""T0.help"":"""",""T1.help"":"""",""T1.question"":""Is there a solar jet in this image?"",""T0.instruction"":""Draw a box around the solar jet."",""T0.tools.0.label"":""Tool name"",""T1.answers.0.label"":""Yes"",""T1.answers.1.label"":""No""}",10
13459,bbox,9,false,0,false,false,false,en,T1,,0,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[{""type"":""rectangle"",""color"":""#00ff00"",""label"":""T0.tools.0.label"",""details"":[]}],""instruction"":""T0.instruction""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[{""next"":""T0"",""label"":""T1.answers.0.label""},{""label"":""T1.answers.1.label""}],""question"":""T1.question""}}","{""criteria"":""classification_count"",""options"":{""count"":15}}",{},"{""T0.help"":"""",""T1.help"":"""",""T1.question"":""Is there a solar jet in this image?"",""T0.instruction"":""Draw a box around the solar jet."",""T0.tools.0.label"":""Tool name"",""T1.answers.0.label"":""Yes"",""T1.answers.1.label"":""No""}",10
13459,bbox,10,false,0,false,false,false,en,T1,,0,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[{""type"":""rectangle"",""color"":""#00ff00"",""label"":""T0.tools.0.label"",""details"":[]}],""instruction"":""T0.instruction""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[{""next"":""T0"",""label"":""T1.answers.0.label""},{""label"":""T1.answers.1.label""}],""question"":""T1.question""},""T2"":{""help"":""T2.help"",""type"":""drawing"",""tools"":[],""instruction"":""T2.instruction""}}","{""criteria"":""classification_count"",""options"":{""count"":15}}",{},"{""T0.help"":"""",""T1.help"":"""",""T2.help"":"""",""T1.question"":""Is there a solar jet in this image?"",""T0.instruction"":""Draw a box around the solar jet."",""T2.instruction"":""Explain what to draw."",""T0.tools.0.label"":""Tool name"",""T1.answers.0.label"":""Yes"",""T1.answers.1.label"":""No""}",11
13459,bbox,10,false,0,false,false,false,en,T1,,0,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[{""type"":""rectangle"",""color"":""#00ff00"",""label"":""T0.tools.0.label"",""details"":[]}],""instruction"":""T0.instruction""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[{""next"":""T0"",""label"":""T1.answers.0.label""},{""label"":""T1.answers.1.label""}],""question"":""T1.question""},""T2"":{""help"":""T2.help"",""type"":""drawing"",""tools"":[],""instruction"":""T2.instruction""}}","{""criteria"":""classification_count"",""options"":{""count"":15}}",{},"{""T0.help"":"""",""T1.help"":"""",""T2.help"":"""",""T1.question"":""Is there a solar jet in this image?"",""T0.instruction"":""Draw a box around the solar jet."",""T2.instruction"":""Explain what to draw."",""T0.tools.0.label"":""Solar jet"",""T1.answers.0.label"":""Yes"",""T1.answers.1.label"":""No""}",12
13459,bbox,11,false,0,false,false,false,en,T1,,0,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[{""type"":""rectangle"",""color"":""#00ff00"",""label"":""T0.tools.0.label"",""details"":[]}],""instruction"":""T0.instruction""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[{""next"":""T0"",""label"":""T1.answers.0.label""},{""label"":""T1.answers.1.label""}],""question"":""T1.question""},""T2"":{""help"":""T2.help"",""type"":""drawing"",""tools"":[{""type"":""point"",""color"":""#00ff00"",""label"":""T2.tools.0.label"",""details"":[]}],""instruction"":""T2.instruction""}}","{""criteria"":""classification_count"",""options"":{""count"":15}}",{},"{""T0.help"":"""",""T1.help"":"""",""T2.help"":"""",""T1.question"":""Is there a solar jet in this image?"",""T0.instruction"":""Draw a box around the solar jet."",""T2.instruction"":""Explain what to draw."",""T0.tools.0.label"":""Solar jet"",""T2.tools.0.label"":""Tool name"",""T1.answers.0.label"":""Yes"",""T1.answers.1.label"":""No""}",13
13459,bbox,11,false,0,false,false,false,en,T1,,0,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[{""type"":""rectangle"",""color"":""#00ff00"",""label"":""T0.tools.0.label"",""details"":[]}],""instruction"":""T0.instruction""},""T1"":{""help"":""T1.help"",""type"":""single"",""answers"":[{""next"":""T0"",""label"":""T1.answers.0.label""},{""label"":""T1.answers.1.label""}],""question"":""T1.question""},""T2"":{""help"":""T2.help"",""type"":""drawing"",""tools"":[{""type"":""point"",""color"":""#00ff00"",""label"":""T2.tools.0.label"",""details"":[]}],""instruction"":""T2.instruction""}}","{""criteria"":""classification_count"",""options"":{""count"":15}}",{},"{""T0.help"":"""",""T1.help"":"""",""T2.help"":"""",""T1.question"":""Is there a solar jet in this image?"",""T0.instruction"":""Draw a box around the solar jet."",""T2.instruction"":""Freehand tool."",""T0.tools.0.label"":""Solar jet"",""T2.tools.0.label"":""Tool name"",""T1.answers.0.label"":""Yes"",""T1.answers.1.label"":""No""}",14
